Fecha,Sin indexar,Indexadas,Impresiones
2026-02-16,40,67,153
2026-02-17,45,62,124
2026-02-18,45,62,137
2026-02-19,45,62,116
2026-02-20,45,62,100
2026-02-21,49,61,99
2026-02-22,49,61,127
2026-02-23,49,61,110
2026-02-24,56,54,144
2026-02-25,56,54,133
2026-02-26,56,54,104
2026-02-27,56,54,84
2026-02-28,56,54,87
2026-03-01,56,54,156
2026-03-02,56,54,160
2026-03-03,59,51,144
2026-03-04,59,51,131
2026-03-05,59,51,129
2026-03-06,59,51,90
2026-03-07,60,50,120
2026-03-08,60,50,143
2026-03-09,60,50,115
2026-03-10,59,51,115
2026-03-11,59,51,151
2026-03-12,59,51,177
2026-03-13,59,51,99
2026-03-14,59,51,82
2026-03-15,59,51,173
2026-03-16,59,51,146
2026-03-17,60,50,126
2026-03-18,60,50,116
2026-03-19,60,50,139
2026-03-20,60,50,132
2026-03-21,62,48,83
2026-03-22,62,48,115
2026-03-23,62,48,119
2026-03-24,63,47,117
2026-03-25,63,47,129
2026-03-26,63,47,131
2026-03-27,63,47,104
2026-03-28,65,47,110
2026-03-29,65,47,154
2026-03-30,65,47,132
2026-03-31,65,47,99
2026-04-01,65,47,99
2026-04-02,65,47,80
2026-04-03,65,47,113
2026-04-04,72,40,114
2026-04-05,72,40,153
2026-04-06,72,40,131
2026-04-07,72,40,143
2026-04-08,72,40,130
2026-04-09,72,40,121
2026-04-10,72,40,118
2026-04-11,72,40,130
2026-04-12,72,40,161
2026-04-13,71,40,153
2026-04-14,71,40,163
2026-04-15,71,40,134
2026-04-16,71,40,142
2026-04-17,71,40,154
2026-04-18,71,40,133
2026-04-19,71,40,179
2026-04-20,74,37,149
2026-04-21,74,37,147
2026-04-22,74,37,152
2026-04-23,74,37,112
2026-04-24,75,36,110
2026-04-25,75,36,145
2026-04-26,75,36,150
2026-04-27,77,34,153
2026-04-28,77,34,188
2026-04-29,77,34,124
2026-04-30,77,34,101
2026-05-01,80,40,97
2026-05-02,80,40,142
2026-05-03,80,40,271
2026-05-04,79,41,264
2026-05-05,79,41,238
2026-05-06,79,41,210
2026-05-07,79,41,211
2026-05-08,90,41,226
2026-05-09,90,41,181
2026-05-10,90,41,246
